,edit_count,sentiment-mean,neg-sentiment
2009-09-03,0.5,-0.04381214441761138,0.0865079365079365
2009-09-04,0.5,-0.04381214441761138,0.0865079365079365
2009-09-05,0.5,-0.04381214441761138,0.0865079365079365
2009-09-06,0.5,-0.04381214441761138,0.0865079365079365
2009-09-07,0.5,-0.04381214441761138,0.0865079365079365
2009-09-08,0.5,-0.04381214441761138,0.0865079365079365
2009-09-09,0.5,-0.04381214441761138,0.0865079365079365
2009-09-10,0.5,-0.04381214441761138,0.0865079365079365
2009-09-11,0.5,-0.04381214441761138,0.0865079365079365
2009-09-12,0.5,-0.04381214441761138,0.0865079365079365
2009-09-13,0.26666666666666666,-0.04718320204152002,0.07222222222222223
2009-09-14,0.3333333333333333,-0.0512307001484765,0.08888888888888889
2009-09-15,1.0666666666666667,-0.05823468897077773,0.10858585858585859
2009-09-16,0.9666666666666667,-0.029522167974048195,0.07525252525252527
2009-09-17,1.0333333333333334,-0.06262469126118554,0.10858585858585859
2009-09-18,1.0333333333333334,-0.06262469126118554,0.10858585858585859
2009-09-19,1.1333333333333333,-0.09589965972635482,0.14191919191919192
2009-09-20,1.0333333333333334,-0.08531440993150076,0.11969696969696969
2009-09-21,1.0333333333333334,-0.08531440993150076,0.11969696969696969
2009-09-22,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-09-23,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-09-24,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-09-25,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-09-26,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-09-27,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-09-28,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-09-29,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-09-30,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-10-01,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-10-02,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-10-03,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-10-04,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-10-05,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-10-06,0.9666666666666667,-0.07742897868156433,0.10303030303030303
2009-10-07,1.0,-0.10759512583414714,0.13636363636363635
2009-10-08,1.0,-0.10759512583414714,0.13636363636363635
2009-10-09,1.0,-0.10759512583414714,0.13636363636363635
2009-10-10,1.0,-0.10759512583414714,0.13636363636363635
2009-10-11,1.0,-0.10759512583414714,0.13636363636363635
2009-10-12,1.0,-0.10759512583414714,0.13636363636363635
2009-10-13,1.0,-0.10759512583414714,0.13636363636363635
2009-10-14,1.1333333333333333,-0.13656147883998024,0.15303030303030302
2009-10-15,0.4,-0.129557490017679,0.13333333333333333
2009-10-16,0.6666666666666666,-0.1618794952001837,0.16666666666666666
2009-10-17,1.1666666666666667,-0.1428385923354844,0.1568627450980392
2009-10-18,1.2333333333333334,-0.17146206001927652,0.19019607843137257
2009-10-19,1.1333333333333333,-0.13818709155410724,0.1568627450980392
2009-10-20,1.1333333333333333,-0.13818709155410724,0.1568627450980392
2009-10-21,1.1333333333333333,-0.13818709155410724,0.1568627450980392
2009-10-22,1.1333333333333333,-0.13818709155410724,0.1568627450980392
2009-10-23,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-10-24,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-10-25,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-10-26,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-10-27,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-10-28,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-10-29,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-10-30,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-10-31,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-11-01,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-11-02,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-11-03,1.1666666666666667,-0.1715102523613989,0.19019607843137257
2009-11-04,1.2333333333333334,-0.17120692035049395,0.20686274509803923
2009-11-05,1.3,-0.1432378808706025,0.20686274509803923
2009-11-06,1.7,-0.1023080624115563,0.18378582202111612
2009-11-07,2.033333333333333,-0.12218102584005361,0.2104524886877828
2009-11-08,2.1333333333333333,-0.13581902752042777,0.23267471091000502
2009-11-09,2.2333333333333334,-0.16894262005608246,0.26600804424333835
2009-11-10,2.533333333333333,-0.1541524442561122,0.27341545165074577
2009-11-11,2.533333333333333,-0.1541524442561122,0.27341545165074577
2009-11-12,2.6,-0.15936732019262037,0.29008211831741243
2009-11-13,2.533333333333333,-0.1263651808958238,0.27341545165074577
2009-11-14,3.5,-0.1445799637285066,0.2998522332599412
2009-11-15,3.3,-0.08109372962983373,0.2665188999266078
2009-11-16,2.966666666666667,-0.0813868448202649,0.26679901197142575
2009-11-17,2.966666666666667,-0.08605360339729383,0.26679901197142575
2009-11-18,3.033333333333333,-0.05665582468756432,0.26679901197142575
2009-11-19,3.033333333333333,-0.05665582468756432,0.26679901197142575
2009-11-20,3.066666666666667,-0.023425134526177185,0.26679901197142575
2009-11-21,3.1,0.009243001037355324,0.26679901197142575
2009-11-22,3.066666666666667,0.04256616184464699,0.23346567863809245
2009-11-23,3.066666666666667,0.04256616184464699,0.23346567863809245
2009-11-24,3.066666666666667,0.04256616184464699,0.23346567863809245
